,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
64,X,X,Nicky Jam,2018-03-02,173627,88,0.595,0.0364,0.595,0.773,0.00108,0.334,-4.736,0.0549,180.073,4
65,Melody,Melody,Lost Frequencies,2018-04-27,149008,67,0.674,0.126,0.674,0.659,0.0,0.455,-8.456,0.048,120.05,4
66,Flames,Flames,David Guetta,2018-03-22,195000,88,0.609,0.0723,0.609,0.726,8.45e-06,0.0895,-4.346,0.0414,93.958,4
67,Nos Fuimos Lejos (feat. El Micha) - Romanian Version,Nos Fuimos Lejos (feat. El Micha) [Romanian Version],Descemer Bueno,2018-08-23,236709,56,0.737,0.152,0.737,0.838,3.65e-06,0.0906,-5.003,0.0626,93.98,4
68,I Love It (& Lil Pump),I Love It,Kanye West,2018-09-07,127946,99,0.901,0.0114,0.901,0.522,0.0,0.259,-8.304,0.33,104.053,4
69,Happy Now,Happy Now,Zedd,2018-07-18,207029,92,0.503,0.579,0.503,0.741,1.49e-06,0.0712,-5.128,0.047,88.335,3
70,Wolves,Wolves,Selena Gomez,2017-10-25,197993,50,0.715,0.139,0.715,0.802,0.0,0.177,-4.647,0.0394,124.989,4
71,Made For Now,Made For Now,Janet Jackson,2018-08-17,210685,74,0.76,0.00307,0.76,0.888,1.49e-05,0.149,-3.449,0.124,115.705,4
72,Personal,Talk To Ya - EP,HRVY,2017-11-30,198040,39,0.751,0.112,0.751,0.547,0.0,0.0282,-5.566,0.13,138.971,4
73,"Genius - with Sia, Diplo & Labrinth","Genius (with Sia, Diplo & Labrinth)",Sia,2018-05-03,213040,81,0.622,0.0864,0.622,0.621,9.8e-05,0.121,-4.924,0.129,158.946,4
74,All The Stars (with SZA),All The Stars (with SZA),Kendrick Lamar,2018-01-04,235540,42,0.715,0.0322,0.715,0.62,0.0142,0.0881,-5.428,0.0507,96.812,4
75,Anywhere,Anywhere,Rita Ora,2017-10-20,215064,82,0.628,0.0364,0.628,0.797,0.0,0.104,-3.953,0.0596,106.93,4
76,Born To Be Yours,Born To Be Yours,Kygo,2018-06-15,193320,88,0.688,0.3,0.688,0.688,0.0,0.0982,-5.84,0.0357,114.011,4
77,Sick Boy,Sick Boy...You Owe Me,The Chainsmokers,2018-02-16,193893,23,0.548,0.104,0.548,0.58,0.0,0.127,-7.524,0.121,180.066,4
78,Hard 2 Face Reality,Hard 2 Face Reality,Poo Bear,2018-04-06,196569,71,0.625,0.22,0.625,0.626,0.0,0.228,-5.281,0.0293,142.043,4
79,For You (Fifty Shades Freed) (& Rita Ora),Fifty Shades Freed (Original Motion Picture Soundtrack),Various Artists,2018-02-09,245453,45,0.49,0.0196,0.49,0.805,0.0,0.162,-4.595,0.0356,112.97,4
80,Him & I (with Halsey),The Beautiful & Damned,G-Eazy,2017-12-15,268866,83,0.589,0.0534,0.589,0.731,0.0,0.308,-6.343,0.0868,87.908,4
81,Let You Love Me,Let You Love Me,Rita Ora,2018-09-21,190000,89,0.531,0.288,0.531,0.854,0.0,0.0773,-3.149,0.198,94.419,4
82,Tie Me Down (with Elley Duhé),Tie Me Down (with Elley Duhé),Gryffin,2018-08-03,218295,85,0.548,0.135,0.548,0.839,0.0,0.102,-2.371,0.0644,98.932,4
83,Bottled Up,Bottled Up,Dinah Jane,2018-09-21,199300,75,0.843,0.107,0.843,0.58,1.84e-05,0.0645,-4.271,0.0591,98.023,4
84,Up Now (feat. G-Eazy and Rich The Kid),Up Now (feat. G-Eazy and Rich The Kid),Saweetie,2018-08-22,198087,72,0.956,0.00294,0.956,0.544,0.0,0.104,-6.41,0.0822,104.011,4
85,Drew Barrymore,Drew Barrymore,Bryce Vine,2017-12-01,190471,88,0.763,0.493,0.763,0.572,0.00118,0.106,-7.312,0.0595,151.93,4
86,Whenever (feat. Conor Maynard),Whenever (feat. Conor Maynard),Kris Kross Amsterdam,2018-06-22,163636,89,0.734,0.151,0.734,0.765,0.0,0.231,-5.562,0.0621,109.989,4
87,Ride Good,Ride Good,LightSkinKeisha,2018-09-21,220377,56,0.645,0.094,0.645,0.57,0.0,0.133,-6.733,0.0605,157.048,4
88,No Smoke,No Smoke,Klondike Blonde,2018-09-27,182278,58,0.842,0.00523,0.842,0.56,1.36e-05,0.102,-7.21,0.147,158.057,4
89,Young & Rude,Young & Rude,Abir,2018-09-20,188357,56,0.584,0.0277,0.584,0.689,0.0,0.0957,-5.269,0.116,159.849,4
90,Sweet but Psycho,Sweet but Psycho,Ava Max,2018-08-17,187436,88,0.719,0.0691,0.719,0.704,0.0,0.166,-4.724,0.0476,133.002,4
91,All Over You,All Over You,Majid Jordan,2018-09-07,215327,70,0.797,0.0579,0.797,0.5,0.0,0.122,-6.964,0.0354,106.957,4
92,Last Summer,Last Summer,Johnny Orlando,2018-09-19,155586,66,0.693,0.267,0.693,0.752,0.0,0.158,-4.599,0.0468,86.039,4
93,Pretty Girl,Pretty Girl,Stefflon Don,2018-08-08,194049,67,0.702,0.124,0.702,0.715,0.0,0.0794,-4.303,0.311,189.847,4
94,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),Social House,2018-06-08,164640,85,0.769,0.66,0.769,0.479,0.0,0.0914,-5.339,0.0385,96.051,4
95,Rotation 112th,Redemption,Jay Rock,2018-06-15,212240,60,0.742,0.0614,0.742,0.711,0.00623,0.124,-4.658,0.237,175.903,4
96,SOS,SOS,Cher,2018-08-23,202440,60,0.496,0.144,0.496,0.743,0.0,0.092,-4.227,0.0336,122.352,4
97,Personal,Personal,Emotional Oranges,2018-07-24,226840,62,0.817,0.116,0.817,0.526,0.00024,0.101,-7.117,0.0584,100.022,4
98,Pretty Bitches in the Trap,First Day of Summer,Summerella,2018-07-18,234684,48,0.815,0.0547,0.815,0.71,3.8e-06,0.0434,-5.023,0.127,139.994,4
