,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
74,Gur Nalon Ishq Mitha,The Bhangra Legend,Malkit Singh,2011-05-26,598560,0,0.556,0.0396,0.556,0.903,0.0,0.0768,-4.201,0.13,105.077,4
75,Dil Kya Kare - The 'Love Is...' Mix,Return Of Dance Masti,Instant Karma,1999-08-26,411133,24,0.666,0.344,0.666,0.71,0.000367,0.0703,-9.126,0.0674,93.048,4
76,Jungli Sher,Jungli Sher,DIVINE,2016-03-18,186943,34,0.597,0.0448,0.597,0.748,0.0,0.626,-5.906,0.223,165.907,4
77,Sayonee,Azadi,Junoon,1997,304333,0,0.467,0.0302,0.467,0.501,6.54e-05,0.122,-13.48,0.0392,174.471,4
78,Yeh Kya Hua,Tera Mera Pyar,Various Artists,2004-06-18,303706,33,0.458,0.0365,0.458,0.646,1e-05,0.135,-6.468,0.062,176.051,4
79,Chura Liya,Bollywood Flashback,Bally Sagoo,2009-07-22,437560,31,0.655,0.0166,0.655,0.629,0.014,0.046,-13.061,0.0558,83.928,4
80,Dekha Hai Aise Bhi,Sifar,Lucky Ali,1998-12-18,238066,31,0.717,0.0643,0.717,0.664,0.0,0.0932,-7.466,0.05,148.033,4
81,Ali More Angana,MTV Most Wanted Indi Pop,Adnan Sami,2001,323173,7,0.651,0.0337,0.651,0.806,0.0,0.0505,-9.928,0.0741,139.89,4
82,Meri Chunar Udd Udd Jaye,Meri Chunar Udd Udd Jaye,Falguni Pathak,2000-01-01,410093,21,0.662,0.112,0.662,0.614,0.000674,0.0553,-10.894,0.0453,94.953,4
83,Bahon Mein Chali Aao - The 'Hold U Tight' Mix,Return Of Dance Masti,Instant Karma,1999-08-26,298813,22,0.633,0.364,0.633,0.493,0.000116,0.117,-11.174,0.0342,145.109,4
84,Mohabbatein Lutaaunga,Aapka... Abhijeet Sawant,Abhijeet Sawant,2005-04-14,356440,32,0.62,0.101,0.62,0.637,3.44e-06,0.194,-9.692,0.0437,83.995,4
85,Miss India,Miss India,Mehnaz,1996,199500,5,0.739,0.229,0.739,0.575,0.00253,0.334,-11.579,0.0937,148.823,4
86,Oonchi Neechi (Zara Dhire Chalo Ji),Greatest Hits,Anaida,2001,258000,5,0.646,0.124,0.646,0.817,0.00054,0.0391,-6.607,0.0671,119.968,4
87,O Meri Soni - The 'Days Are Dark' Mix,Perfect 10: Dance Masti Gold,Instant Karma,2012-01-09,320080,12,0.497,0.51,0.497,0.775,0.0,0.0567,-5.44,0.0739,159.981,3
88,Dardi Rab Rab Kardi,Dardi Rab Rab,Daler Mehndi,1996,324760,17,0.719,0.0168,0.719,0.955,1.93e-06,0.138,-8.789,0.0349,135.92,4
89,Chandni Raten,Distant Voices,Partners in Rhyme,1997,338800,22,0.63,0.201,0.63,0.526,0.0119,0.284,-13.657,0.0394,83.938,4
90,Kashmakash,Kashmakash,Alms for Shanti,2002-07-10,252066,6,0.662,0.00904,0.662,0.748,0.000881,0.0986,-7.329,0.0276,111.99,4
91,Saiyyan,Kailasa Jhoomo Re,Kailash Kher,2011-05-31,343906,45,0.473,0.65,0.473,0.562,0.000117,0.12,-8.624,0.0451,74.653,3
92,Lag Ja Gale,Lag Ja Gale,Sanam,2014-07-15,240953,0,0.393,0.857,0.393,0.32,1.09e-05,0.0917,-8.648,0.0301,135.029,3
93,Aaja Piya,Dance Masti.....Forever,Instant Karma,2009-02-19,256413,20,0.763,0.382,0.763,0.697,4.84e-05,0.104,-4.05,0.0362,103.06,4
94,Kandisa,Best Of Indian Ocean,Indian Ocean,2011-01-14,460533,20,0.691,0.346,0.691,0.55,0.0263,0.289,-10.619,0.0376,111.771,4
95,The Way We Do It,The Way We Do It,Colonial Cousins,1996-12-26,239426,6,0.882,0.00718,0.882,0.717,0.00395,0.191,-4.148,0.143,111.09,4
96,Breathless,Hi-5: Shankar Mahadevan,Shankar Mahadevan,2016-03-18,185720,0,0.794,0.446,0.794,0.881,0.0,0.317,-5.589,0.195,99.858,4
97,Mere Naseeb Mein,Baby H Mere Naseeb .....Remix,Various Artists,2003-07-11,384960,34,0.773,0.102,0.773,0.652,2.65e-05,0.0443,-6.474,0.0286,105.991,4
98,Chaandan Mein,Yatra (Nomadic Souls),Kailash Kher,2009-08-18,253013,0,0.57,0.739,0.57,0.48,0.00513,0.127,-10.933,0.0285,100.036,1
99,Roop Tera Masta,"Roop Inka Mastana, Vol. 1",Shaan,1995,254093,17,0.759,0.533,0.759,0.695,0.002,0.0751,-10.141,0.0611,162.064,4
