name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,class
Connect,Nothing Was The Same,Drake,49,0.675,0.414,0.492,0,0.145,-9.516,0.157,75.067,1
Come Thru,Nothing Was The Same,Drake,53,0.632,0.168,0.477,0,0.58,-5.802,0.183,82.046,1
All Me,Nothing Was The Same,Drake,62,0.669,0.0689,0.511,0,0.181,-6.943,0.395,122.029,1
305 To My City,Nothing Was The Same,Drake,46,0.488,0.0572,0.487,0,0.204,-8.831,0.281,99.438,1
Only,Only,Nicki Minaj,0,0.866,0.359,0.506,0,0.0922,-6.913,0.469,119.954,1
Over Here - feat. Drake,PARTYNEXTDOOR,PARTYNEXTDOOR,52,0.794,0.0384,0.592,1.86E-05,0.111,-6.973,0.129,97.201,1
Come and See Me (feat. Drake),PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,73,0.717,0.0511,0.347,2.43E-06,0.087,-10.265,0.0636,84.987,1
Recognize (feat. Drake),PARTYNEXTDOOR TWO,PARTYNEXTDOOR,66,0.643,0.0102,0.541,0,0.102,-5.801,0.0426,119.501,1
Champion,Pink Friday ... Roman Reloaded,Nicki Minaj,0,0.453,0.00653,0.697,0,0.469,-4.759,0.039,164.126,1
Moment 4 Life,Pink Friday (Deluxe Edition),Nicki Minaj,49,0.681,0.406,0.881,0,0.242,-3.883,0.237,97.94,1
Pop Style,Pop Style,Drake,29,0.791,0.187,0.49,1.95E-06,0.104,-9.05,0.242,133.085,1
Pop That,Pop That,French Montana,7,0.739,0.0596,0.912,0,0.65,-1.253,0.113,137.998,1
Money To Blow - Street Version,Pricele$$ (UK Deluxe Edition Explicit),Birdman,33,0.708,0.0095,0.578,0,0.353,-8.686,0.0631,133.03,1
Mo Milly,Pricele$$ (UK Deluxe Edition Explicit),Birdman,14,0.677,0.0114,0.95,0,0.163,-3.807,0.213,151.955,1
4 My Town (Play Ball),Pricele$$ (UK Deluxe Edition Explicit),Birdman,26,0.615,0.0546,0.619,0,0.31,-6.567,0.231,152.105,1
Forever,Relapse: Refill,Eminem,42,0.457,0.249,0.906,0,0.182,-2.278,0.342,104.02,1
Right Hand,Right Hand,Drake,35,0.915,0.117,0.301,0,0.089,-7.657,0.237,100.519,1
Trophies,Rise Of An Empire (Deluxe Edition),Young Money,44,0.74,0.153,0.694,0,0.137,-7.488,0.505,143.894,1
God's Plan,Scary Hours,Drake,69,0.755,0.0283,0.448,3.28E-05,0.514,-9.587,0.107,77.179,1
Diplomatic Immunity,Scary Hours,Drake,41,0.663,0.00472,0.846,0,0.292,-5.226,0.453,75.137,1
Schemin Up (feat. Drake and P. Reign),Schemin Up (feat. Drake and P. Reign),OB OBrien,54,0.752,0.338,0.766,0,0.0861,-5.11,0.251,141.82,1
That's How You Feel,Scorpion,Drake,69,0.81,0.152,0.451,0.0537,0.108,-6.348,0.249,85.417,1
Talk Up,Scorpion,Drake,71,0.759,0.0039,0.479,5.30E-06,0.302,-10.65,0.186,140.089,1
Survival,Scorpion,Drake,72,0.685,0.134,0.593,0,0.123,-9.083,0.284,84.763,1
Summer Games,Scorpion,Drake,70,0.776,0.481,0.482,0.0457,0.11,-11.268,0.0356,136.015,1
Sandra's Rose,Scorpion,Drake,70,0.487,0.047,0.85,0,0.142,-5.427,0.25,152.102,1
Ratchet Happy Birthday,Scorpion,Drake,68,0.648,0.458,0.535,0.00246,0.106,-13.295,0.1,168.03,1
Peak,Scorpion,Drake,69,0.689,0.847,0.217,0.000123,0.106,-13.539,0.0387,92.007,1
Nonstop,Scorpion,Drake,80,0.909,0.0306,0.405,0.00698,0.105,-8.133,0.14,154.984,1
Nice For What,Scorpion,Drake,72,0.7,0.0884,0.909,0.000114,0.0778,-6.461,0.0628,93.469,1
Mob Ties,Scorpion,Drake,75,0.755,0.0443,0.575,0.00127,0.276,-8.392,0.0673,85.994,1
Jaded,Scorpion,Drake,69,0.766,0.0366,0.272,0,0.175,-5.696,0.041,116.036,1
Is There More,Scorpion,Drake,68,0.636,0.738,0.538,0,0.149,-7.725,0.312,83.508,1
In My Feelings,Scorpion,Drake,84,0.735,0.00623,0.482,0.0144,0.448,-9.445,0.139,181.995,1
I'm Upset,Scorpion,Drake,73,0.899,0.279,0.587,0,0.0835,-7.866,0.338,149.993,1
God's Plan,Scorpion,Drake,75,0.754,0.0329,0.449,7.84E-05,0.55,-9.212,0.108,77.167,1
Finesse,Scorpion,Drake,69,0.807,0.132,0.321,0.000289,0.1,-8.147,0.0571,94.994,1
Final Fantasy,Scorpion,Drake,67,0.461,0.428,0.449,8.29E-06,0.115,-10.998,0.442,86.505,1
Emotionless,Scorpion,Drake,74,0.413,0.0239,0.676,0,0.0811,-5.124,0.213,173.478,1
Elevate,Scorpion,Drake,73,0.755,0.0153,0.47,0,0.118,-8.72,0.139,76.056,1
Don't Matter to Me,Scorpion,Drake,81,0.825,0.497,0.317,0.0128,0.11,-12.39,0.0583,103.001,1
Cant' Take a Joke,Scorpion,Drake,72,0.878,0.041,0.432,0,0.0571,-9.852,0.143,86.956,1
Blue Tint,Scorpion,Drake,70,0.888,0.0126,0.377,0,0.19,-10.142,0.339,133.996,1
After Dark,Scorpion,Drake,70,0.65,0.0386,0.429,0,0.139,-13.071,0.192,141.855,1
8 Out Of 10,Scorpion,Drake,72,0.534,0.164,0.684,0,0.499,-7.874,0.717,170.416,1
Mar-14,Scorpion,Drake,67,0.5,0.4,0.419,0,0.36,-7.349,0.39,91.963,1
Say Something (Featuring Drake),Shock Value II (International Deluxe version),Timbaland,21,0.555,0.0845,0.713,0,0.712,-4.549,0.0911,79.934,1
Signs,Signs,Drake,49,0.801,0.0864,0.727,0.00406,0.112,-4.687,0.0606,107.371,1
Uptown,So Far Gone,Drake,20,0.761,0.00356,0.754,0,0.212,-4.674,0.269,128.012,1
The Calm,So Far Gone,Drake,15,0.479,0.828,0.638,0.000201,0.11,-12.112,0.896,160.158,1
Successful,So Far Gone,Drake,22,0.735,0.464,0.416,0,0.114,-7.939,0.387,159.109,1
I'm Goin In,So Far Gone,Drake,23,0.662,0.0389,0.763,0,0.103,-8.455,0.377,170.031,1
Houstatlantavegas,So Far Gone,Drake,19,0.699,0.319,0.576,0.00509,0.205,-9.304,0.0519,135.312,1
Fear,So Far Gone,Drake,19,0.334,0.0615,0.783,0,0.11,-6.144,0.181,83.944,1
Best I Ever Had,So Far Gone,Drake,44,0.457,0.204,0.855,0,0.28,-4.877,0.382,162.164,1
So Good,So Good,Shanell,2,0.574,0.000744,0.797,0,0.331,-8.617,0.0677,157.954,1
Started From the Bottom,Started From the Bottom (Explicit Version),Drake,26,0.79,0.0391,0.54,0,0.266,-6.959,0.183,86.308,1
Stay Schemin,Stay Schemin,Rick Ross,30,0.448,0.0833,0.719,0,0.162,-4.179,0.291,162.09,1
Why You Always Hatin?,Still Brazy (Deluxe),YG,37,0.927,0.0442,0.362,0,0.139,-9.329,0.591,93.008,1
Still Got It,Still Got It,Tyga,7,0.51,0.375,0.864,1.15E-06,0.434,-4.795,0.372,119.198,1
The One,Stronger withEach Tear (International Version),Mary J. Blige,16,0.854,0.183,0.679,0,0.246,-6.328,0.251,104.052,1
Summer Sixteen,Summer Sixteen,Drake,54,0.594,0.00354,0.46,2.71E-05,0.147,-7.607,0.382,146.274,1
We'll Be Fine,Take Care,Drake,6,0.386,0.00171,0.488,0,0.64,-7.303,0.422,193.178,1
Under Ground Kings,Take Care,Drake,7,0.487,5.20E-05,0.712,0,0.198,-7.323,0.27,156.209,1
The Ride,Take Care,Drake,4,0.556,0.517,0.702,0,0.342,-10.079,0.205,155.948,1
The Real Her,Take Care,Drake,3,0.567,0.166,0.309,0,0.12,-14.254,0.385,65.041,1
The Motto,Take Care,Drake,73,0.766,0.000107,0.442,6.12E-05,0.111,-8.558,0.356,201.8,1
Take Care,Take Care,Drake,8,0.629,0.0267,0.515,1.22E-05,0.0888,-10.358,0.265,121.845,1
Shot For Me,Take Care,Drake,8,0.566,0.0555,0.465,0,0.567,-11.714,0.235,143.015,1
Practice,Take Care,Drake,6,0.446,0.574,0.239,7.76E-05,0.12,-15.327,0.0876,104.675,1
Over My Dead Body,Take Care,Drake,6,0.489,0.759,0.57,2.10E-06,0.179,-10.291,0.306,185.516,1
Lord Knows,Take Care,Drake,4,0.417,0.0786,0.887,0,0.834,-5.551,0.367,167.579,1
Look What You've Done,Take Care,Drake,5,0.495,0.485,0.351,0,0.0967,-14.669,0.34,134.369,1
HYFR (Hell Ya Fucking Right),Take Care,Drake,9,0.444,0.123,0.627,0,0.0795,-8.744,0.252,98.21,1
Doing It Wrong,Take Care,Drake,6,0.398,0.857,0.162,0.000103,0.102,-15.699,0.0441,69.608,1
Crew Love,Take Care,Drake,8,0.418,0.227,0.546,0,0.229,-9.057,0.238,160.152,1
Cameras / Good Ones Go Interlude - Medley,Take Care,Drake,7,0.441,0.255,0.403,1.27E-05,0.13,-11.18,0.147,139.92,1
